package, benchmark, threads, input-size, branch-instructions, branch-miss-percentage, L3-cache-misses, L3-cache-miss-percentage, L3-cache-references, cpu-cycles, total-instructions, IPC, cpu-clock, page-faults, L1-data-cache-loads, L1-instruction-cache-load-misses , LLC-load-misses, Exe-time, Speedup,u1,u2
parsec,bodytrack,15,simsmall,536977521,204.868,17693560,3.3,16807118,15.623,107582583,5725536581,3054702081,0.53,2621.09,139337,1340393876,49892694,15858820,0.194,2.37628866
parsec,bodytrack,16,simsmall,507730092,202.852,17721384,3.49,15833643,14.992,105611387,5491251181,3002804302,0.55,2502.96,139352,1311630296,50433616,15643486,0.176,2.619318182
parsec,bodytrack,18,simsmall,589137821,275.832,16340892,2.77,13171764,15.099,87235410,4926729440,3185101481,0.65,2135.85,139393,1435564460,33809194,12390414,0.123,3.74796748
parsec,bodytrack,19,simsmall,536327561,224.571,18051865,3.37,13241793,13.807,95907743,5344511467,3197640658,0.6,2388.23,139356,1404751893,42357546,12138986,0.134,3.440298507
parsec,bodytrack,20,simsmall,578110207,245.107,17694789,3.06,12268659,12.872,95311225,5324053426,3239322972,0.61,2358.61,139084,1417129765,38253439,11624148,0.156,2.955128205
parsec,bodytrack,21,simsmall,546659166,215.571,17731597,3.24,15554826,14.462,107557786,5580500305,3131821704,0.56,2535.87,139223,1380550902,47794954,14519112,0.183,2.519125683
parsec,bodytrack,22,simsmall,520866211,203.304,17890757,3.43,15758266,14.653,107541579,5646490453,3084924219,0.55,2562,139400,1343740335,47968613,15258380,0.169,2.727810651
parsec,bodytrack,23,simsmall,516794869,202.25,17898926,3.46,16666932,15.794,105526898,5636884419,3086712587,0.55,2555.23,139438,1345950728,49801870,16354204,0.181,2.546961326
parsec,bodytrack,24,simsmall,532015302,204.642,18341308,3.45,16378631,15.347,106725059,5740697851,3115681629,0.54,2599.74,139647,1380793521,47947608,15500675,0.191,2.413612565
parsec,bodytrack,25,simsmall,576107057,215.941,17628833,3.06,14446994,13.883,104063345,5838276178,3071030712,0.53,2667.89,139688,1403606704,47717748,14314799,0.193,2.388601036
